"","Block","Base_File","Repeated","Insert","Degredation","Image"
"311",4,"052a.jpg",1,NA,75,"052a_75_3.png"
"312",4,"053b.jpg",1,NA,0,"053b.jpg"
"313",4,"054b.jpg",1,NA,50,"054b_50_3.png"
"314",4,"055b.jpg",1,NA,25,"055b_25_3.png"
"315",4,"056a.jpg",1,NA,25,"056a_25_3.png"
"316",4,"057b.jpg",1,NA,0,"057b.jpg"
"317",4,"059b.jpg",1,NA,75,"059b_75_3.png"
"318",4,"062a.jpg",1,NA,75,"062a_75_3.png"
"319",4,"063b.jpg",1,NA,50,"063b_50_3.png"
"320",4,"064b.jpg",1,NA,0,"064b.jpg"
"321",4,"065a.jpg",1,NA,75,"065a_75_3.png"
"322",4,"067b.jpg",1,NA,50,"067b_50_3.png"
"323",4,"068a.jpg",1,NA,50,"068a_50_3.png"
"324",4,"069a.jpg",1,NA,50,"069a_50_3.png"
"325",4,"070a.jpg",1,NA,0,"070a.jpg"
"326",4,"071a.jpg",1,NA,50,"071a_50_3.png"
"327",4,"072b.jpg",1,NA,0,"072b.jpg"
"328",4,"074b.jpg",1,NA,0,"074b.jpg"
"329",4,"075b.jpg",1,NA,75,"075b_75_3.png"
"330",4,"076a.jpg",1,NA,25,"076a_25_3.png"
"331",4,"077b.jpg",1,NA,25,"077b_25_3.png"
"332",4,"078a.jpg",1,NA,25,"078a_25_3.png"
"333",4,"079a.jpg",1,NA,0,"079a.jpg"
"334",4,"080b.jpg",1,NA,25,"080b_25_3.png"
"335",4,"081a.jpg",1,NA,0,"081a.jpg"
"336",4,"082a.jpg",1,NA,25,"082a_25_3.png"
"337",4,"083a.jpg",1,NA,25,"083a_25_3.png"
"338",4,"085a.jpg",1,NA,50,"085a_50_3.png"
"339",4,"086a.jpg",1,NA,0,"086a.jpg"
"340",4,"087a.jpg",1,NA,75,"087a_75_3.png"
"341",4,"088a.jpg",1,NA,50,"088a_50_3.png"
"342",4,"090a.jpg",1,NA,50,"090a_50_3.png"
"343",4,"091b.jpg",1,NA,75,"091b_75_3.png"
